method,control,mean_err,median_err,max_err,time_s,mem_mb
AutoTsit5(Rosenbrock23),3.1622776601683795e-5,0.0006953130055640211,3.3728317494596816e-5,0.9997085463881268,0.0202633,6.154684066772461
AutoTsit5(Rosenbrock23),1.0e-5,0.0006504253308102564,1.5733481487645307e-5,0.9998548479695644,0.0246904,6.154653549194336
AutoTsit5(Rosenbrock23),3.162277660168379e-6,1.0223741740806036e-5,6.177607087320958e-6,0.0002452748682646444,0.03427,6.154684066772461
AutoTsit5(Rosenbrock23),1.0e-6,4.512112665876339e-6,2.9489372802560254e-6,0.00023369957611696357,0.0434049,6.154699325561523
AutoTsit5(Rosenbrock23),3.162277660168379e-7,2.0285917489486215e-6,1.3697235091703064e-6,1.9717043744371665e-5,0.0430731,6.154684066772461
AutoTsit5(Rosenbrock23),1.0000000000000001e-7,9.864975859007196e-7,6.363111395568666e-7,9.702095387531529e-6,0.0757158,6.154714584350586
AutoTsit5(Rosenbrock23),3.162277660168379e-8,4.2327952888568385e-7,2.6756014848139387e-7,3.0652857470059303e-6,0.0964204,6.154684066772461
AutoTsit5(Rosenbrock23),1.0e-8,2.017287277820967e-7,1.3438856427683277e-7,2.5921501438652683e-6,0.1090039,6.154684066772461
AutoTsit5(Rosenbrock23),3.1622776601683795e-9,9.10134187664946e-8,6.324722745532085e-8,9.00030838302257e-7,0.1570605,6.154699325561523
AutoTsit5(Rosenbrock23),1.0e-9,4.3360562641397984e-8,3.367298473389013e-8,3.3266575893975414e-7,0.1933618,6.154653549194336
AutoTsit5(Rosenbrock23),3.1622776601683795e-10,1.923794346575525e-8,1.0026418584274666e-8,1.2981210684159805e-7,0.2664867,6.154668807983398
